sentence,year,base_verb,lemma,form,label
Am 1. November hatte ein Parteitag in Fulda Ypsilantis Marschroute zur Macht mit überwältigender Mehrheit gebilligt.,2009,billigen,gebilligt,gebilligt,0
"Tanja Lorentzon vom gastgebenden Dramaten-Theater gießt den Präsidenten als Blondine auf die Bühne – ein Callgirl, welches während der Rede mit den Kunden telefoniert.",2009,reden,mitreden,rede mit,0
"Erst eine gemeinsame Strategie von Malaysia, Indonesien und Singapur führte zu einem deutlichen Rückgang der Überfälle.",2009,führen,führte,führte,0
"Der Korpus ist aus Leder und Metall gefertigt, nichts ist geklebt, und alles ist geschraubt.",2009,kleben,geklebt,geklebt,0
Die eine sagt: Das Netz ist etwas ganz Neues und Besonderes; wir brauchen auf ein spezielles Internetgesetz.,2009,brauchen,aufbrauchen,brauchen auf,1
"Eine dritte Hürde gab es auch noch, wenngleich nur für Leser der FAZ: Dort hat der selbstbewusste Autor nämlich knapp vor Erscheinen des neuen Buches in einem termingerechten Interview allen Interpreten vorgesagt, was das Besondere und Gelungene an diesem Roman ist, wie er funktioniert, wie man ihn lesen sollte und so weiter, also all das, was zumindest Kritiker einem Autor bekanntlich erst einmal überhaupt nicht glauben.",2009,sagen,vorsagen,vorgesagt,0
"Nun wird festgelegt, dass die Renten nicht versinken werden.",2009,sinken,versinken,versinken,1
"Auf Moorea quartierten aus wir uns in Hotelhütten ein, die auf Pfählen im Wasser standen.",2009,quartieren,ausquartieren,quartierten aus,1
"Der Weizen, der hier nicht produziert wird, weil wir uns extensivere Standards in der Landwirtschaft leisten, wird in arabischen Ländern unter erheblichem Verbrauch fossilen Wassers angebaut.",2010,bauen,anbauen,angebaut,0
Und manchmal weht sogar ein Küstenwind von Ostia herüber – ganz leicht und perlend.,2010,wehen,weht,weht,0
"Durch den Staub rennen die Redakteure jetzt hinaus, mit verbleichen Gesichtern, aber unverletzt.",2010,bleichen,verbleichen,verbleichen,1
Die Piraten entfliehen mit Phillips als Geisel in dem Rettungsboot.,2009,fliehen,entfliehen,entfliehen,1
"Nach neun Jahren in Russland geleiten er als Brigadier auf der Baustelle ein Dutzend Männer, und mit jeder Geldüberweisung nach Hause erhält sein zukünftiges Café ein paar Dachschindeln mehr.",2009,leiten,geleiten,geleiten,1
"Dafür schwärmt der 45-Jährige schon jetzt davon, wie die Besucher künftig per Floß auf einem künstlichen Fluss durch die Halle gleiten.",2010,schwärmen,schwärmt,schwärmt,0
Nun dürfen eingefleischte Beatles- Fans ein prüfendes Auge darauf nachwerfen.,2009,werfen,nachwerfen,nachwerfen,1
"Aber vor allem muss die Situation, muss das Umfeld stimmen, um als Trainer Erfolg zu haben.",2009,folgen,erfolgen,erfolg,0
"Seine Inszenierungen dagegen waren unvorhersehbar, formstürzend, rasend, mutwillig und oft verkalkulieren peinlich.",2009,kalkulieren,verkalkulieren,verkalkulieren,1
"Sie hat auch großen Wert darauf gelegt, dass wir sie möglichst genau zitieren und wenig missinterpretieren.",2009,interpretieren,missinterpretieren,missinterpretieren,1
"Vorher nimmt Liao Yiwu die Flöte, die aus dem Gefängnis, er lässt sie flüstern, hauchen aus, weinen.",2010,hauchen,aushauchen,hauchen aus,1
"Nahles erahnen es und dringt in ihn, quält ihn zur Klarheit.",2009,ahnen,erahnen,erahnen,1
"Sie basieren auf  mathematischen Modellen, mit denen die Verwerfungen der Finanzkrise gar nicht abzubilden sind.",2009,bilden,abbilden,abzubilden,0
"Er wollte nicht Fußball spielen und sich nicht prügeln, er ging mit seinem Vater in die Urfft und angelte, sein Leben lang.",2009,prügeln,prügeln,prügeln,0
Sind die Kinderkrankheiten der Tablet-Notebooks endlich kuriert aus?,2009,kurieren,auskurieren,kuriert aus,1
"Ich wüsste das nicht, hätte mir nicht die Redaktion zum Abschied fast anderthalb Jahre später ein überdimensionales Zippo-Feuerzeug geschenkt (ich habe viel geraucht damals), auf dem dieses Datum eingraviert ist.",2009,schenken,geschenkt,geschenkt,0
2017 könnte der erste Zug durch die Röhre rollen ein.,2009,rollen,einrollen,rollen ein,1
"Die Linke, 2004 noch bei 20,2 Prozent, legte leicht zu, die SPD hatte ein Plus von 0,2 Prozentpunkten.",2009,legen,zulegen,legte zu,0
